season,team,source_name,rank,adjoe,adjde,adj_em,barthag,sos_adj,luck,wab
2020,Colgate Raiders,Colgate,137,106.1468,103.3553,2.7915,0.576026,0.354845,0.042672,-3.9523
2020,Little Rock,Little Rock,138,105.6401,102.8938,2.7463,0.575154,0.457758,0.085167,-3.7421
2020,Princeton,Princeton,139,106.7417,104.0714,2.6703,0.572327,0.471935,-0.062821,-7.4159
2020,Chattanooga,Chattanooga,140,106.7783,104.1139,2.6645,0.572144,0.439392,-0.000243,-6.4633
2020,Montana Grizzlies,Montana,141,102.5186,100.0115,2.5071,0.570705,0.425801,-0.033584,-6.8226
2020,FIU Panthers,FIU,142,103.7614,101.313,2.4484,0.568226,0.445854,-0.002723,-6.2267
2020,California Golden Bears,California,143,101.6375,99.375,2.2625,0.564363,0.700174,0.072984,-6.0543
2020,Buffalo,Buffalo,144,104.0519,101.7844,2.2675,0.563009,0.489243,0.054959,-5.7043
2020,Siena Saints,Siena,145,107.0656,104.7441,2.3216,0.562694,0.350177,-0.018928,-5.8592
2020,Marshall,Marshall,146,100.9043,98.7754,2.129,0.561003,0.492208,-0.029883,-8.334
2020,Towson Tigers,Towson,147,106.2866,104.1563,2.1303,0.557948,0.461214,-0.002774,-6.9746
2020,Georgia Southern,Georgia Southern,148,101.1479,99.2046,1.9434,0.555545,0.449304,0.018982,-6.6618
2020,Ohio Bobcats,Ohio,149,103.5475,101.5791,1.9683,0.554954,0.465045,-0.045635,-8.199
2020,Eastern Washington,Eastern Washington,150,103.976,102.0547,1.9212,0.553416,0.426018,0.135437,-2.0744
2020,Wofford Terriers,Wofford,151,104.5531,102.7957,1.7574,0.548582,0.459491,-0.027654,-8.1315
2020,Drake,Drake,152,102.722,101.004,1.718,0.54834,0.498671,0.048782,-6.1518
2020,New Mexico Lobos,New Mexico,153,104.306,102.8972,1.4089,0.539018,0.524254,0.062575,-5.6863
2020,North Florida,North Florida,154,112.2664,110.8315,1.4349,0.536915,0.393567,0.013757,-4.949
2020,Oral Roberts Golden Eagles,Oral Roberts,155,107.5176,106.1819,1.3357,0.535879,0.419652,-0.047576,-7.1853
2020,Vanderbilt Commodores,Vanderbilt,156,104.5858,103.3932,1.1927,0.532926,0.651351,-0.050446,-10.0191
2020,Delaware,Delaware,157,106.5871,105.4105,1.1766,0.53187,0.40994,0.058949,-5.713
2020,Nebraska Cornhuskers,Nebraska,158,101.4539,100.4547,0.9992,0.528424,0.736502,-0.075815,-10.357
2020,Bowling Green,Bowling Green,159,104.3562,103.3459,1.0103,0.527939,0.470767,0.119939,-3.896
2020,Austin Peay,Austin Peay,160,106.886,105.8832,1.0028,0.527073,0.389875,0.017179,-5.9631
2020,Southern Illinois,Southern Illinois,161,98.1945,97.3123,0.8822,0.525923,0.511063,-0.010817,-8.7747
